Unnamed: 0,id,title,title_zh,authors,url,subjects,subject_split
0,arXiv:2310.08864,"Open X-Embodiment: Robotic Learning Datasets and RT-X Models

",开放X实施例：机器人学习数据集和RT-X模型,"
Authors:
Open X-Embodiment Collaboration, 

Abhishek Padalkar, 

Acorn Pooley, 

Ajinkya Jain, 

Alex Bewley, 

Alex Herzog, 

Alex Irpan, 

Alexander Khazatsky, 

Anant Rai, 

Anikait Singh, 

Anthony Brohan, 

Antonin Raffin, 

Ayzaan Wahid, 

Ben Burgess-Limerick, 

Beomjoon Kim, 

Bernhard Schölkopf, 

Brian Ichter, 

Cewu Lu, 

Charles Xu, 

Chelsea Finn, 

Chenfeng Xu, 

Cheng Chi, 

Chenguang Huang, 

Christine Chan, 

Chuer Pan, 

Chuyuan Fu, 

Coline Devin, 

Danny Driess, 

Deepak Pathak, 

Dhruv Shah, 

Dieter Büchler, 

Dmitry Kalashnikov, 

Dorsa Sadigh, 

Edward Johns, 

Federico Ceola, 

Fei Xia, 

Freek Stulp, 

Gaoyue Zhou, 

Gaurav S. Sukhatme, 

Gautam Salhotra, 

Ge Yan, 

Giulio Schiavi, 

Gregory Kahn, 

Hao Su, 

Hao-Shu Fang, 

Haochen Shi, 

Heni Ben Amor, 

Henrik I Christensen, 

Hiroki Furuta, 

Homer Walke, 

Hongjie Fang, 

Igor Mordatch, 

Ilija Radosavovic,  et al. (124 additional authors not shown)

",https://arxiv.org/pdf/2310.08864.pdf,"
Subjects: Robotics (cs.RO)
",['Robotics (cs.RO)']
1,arXiv:2310.08863,"In-Context Learning for Few-Shot Molecular Property Prediction

",用于少镜头分子性质预测的上下文学习,"
Authors:
Christopher Fifty, 

Jure Leskovec, 

Sebastian Thrun
",https://arxiv.org/pdf/2310.08863.pdf,"
Subjects: Machine Learning (cs.LG)
",['Machine Learning (cs.LG)']
2,arXiv:2310.08861,"Re-initialization-free Level Set Method via Molecular Beam Epitaxy  Equation Regularization for Image Segmentation

",基于分子束外延方程正则化的无重初始化水平集图像分割方法,"
Authors:
Fanghui Song, 

Jiebao Sun, 

Shengzhu Shi, 

Zhichang Guo, 

Dazhi Zhang
",https://arxiv.org/pdf/2310.08861.pdf,"
Subjects: Computer Vision and Pattern Recognition (cs.CV)
",['Computer Vision and Pattern Recognition (cs.CV)']
3,arXiv:2310.08860,"Guiding AMR Parsing with Reverse Graph Linearization

",用反向图线性化指导AMR解析,"
Authors:
Bofei Gao, 

Liang Chen, 

Peiyi Wang, 

Zhifang Sui, 

Baobao Chang
",https://arxiv.org/pdf/2310.08860.pdf,"
Subjects: Computation and Language (cs.CL)
",['Computation and Language (cs.CL)']
4,arXiv:2310.08857,"Transmission Planning for Climate-impacted Renewable Energy Grid: Data  Preparation, Model Improvement, and Evaluation

",受气候影响的可再生能源电网输电规划：数据准备、模型改进和评估,"
Authors:
Jin Lu, 

Xingpeng Li
",https://arxiv.org/pdf/2310.08857.pdf,"
Subjects: Systems and Control (eess.SY)
",['Systems and Control (eess.SY)']
5,arXiv:2310.08855,"Overcoming Recency Bias of Normalization Statistics in Continual  Learning: Balance and Adaptation

",克服持续学习中归一化统计的近期偏差：平衡与适应,"
Authors:
Yilin Lyu, 

Liyuan Wang, 

Xingxing Zhang, 

Zicheng Sun, 

Hang Su, 

Jun Zhu, 

Liping Jing
",https://arxiv.org/pdf/2310.08855.pdf,"
Subjects: Machine Learning (cs.LG)
",['Machine Learning (cs.LG)']
6,arXiv:2310.08854,"Rank-DETR for High Quality Object Detection

",用于高质量目标检测的秩DETR,"
Authors:
Yifan Pu, 

Weicong Liang, 

Yiduo Hao, 

Yuhui Yuan, 

Yukang Yang, 

Chao Zhang, 

Han Hu, 

Gao Huang
",https://arxiv.org/pdf/2310.08854.pdf,"
Subjects: Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)



","['Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (cs.LG)']"
7,arXiv:2310.08853,"Spatially Continuous Non-Contact Cold Sensation Presentation Based on  Low-Temperature Airflows

",基于低温气流的空间连续非接触冷感呈现,"
Authors:
Koyo Makino, 

Jiayi Xu, 

Akiko Kaneko, 

Naoto Ienaga, 

Yoshihiro Kuroda
",https://arxiv.org/pdf/2310.08853.pdf,"
Subjects: Human-Computer Interaction (cs.HC)
",['Human-Computer Interaction (cs.HC)']
8,arXiv:2310.08849,"Path To Gain Functional Transparency In Artificial Intelligence With  Meaningful Explainability

",在人工智能中获得具有有意义解释性的功能透明的途径,"
Authors:
Md. Tanzib Hosain, 

Mehedi Hasan Anik, 

Sadman Rafi, 

Rana Tabassum, 

Khaleque Insia, 

Md. Mehrab Siddiky
",https://arxiv.org/pdf/2310.08849.pdf,"
Subjects: Artificial Intelligence (cs.AI)
",['Artificial Intelligence (cs.AI)']
9,arXiv:2310.08848,"Semi-Supervised End-To-End Contrastive Learning For Time Series  Classification

",时间序列分类的半监督端到端对比学习,"
Authors:
Huili Cai, 

Xiang Zhang, 

Xiaofeng Liu
",https://arxiv.org/pdf/2310.08848.pdf,"
Subjects: Machine Learning (cs.LG)
",['Machine Learning (cs.LG)']
