Unnamed: 0,id,title,title_zh,authors,url,subjects,subject_split
0,arXiv:2501.05552,The dynamics of meaning through time: Assessment of Large Language Models,"随时间变化的意义动态：大型语言模型的评估

注：虽然您要求不提供解释，但为确保理解，本翻译将 ""The dynamics of meaning through time"" 翻译为“随时间变化的意义动态”，将 ""Assessment of Large Language Models"" 翻译为“大型语言模型的评估”。","Mohamed Taher Alrefaie, Fatty Salem, Nour Eldin Morsy, Nada Samir, Mohamed Medhat Gaber",https://arxiv.org/pdf/2501.05552.pdf,"Subjects:
Computation and Language (cs.CL); Artificial Intelligence (cs.AI)","Computation and Language (cs.CL),  Artificial Intelligence (cs.AI)"
1,arXiv:2501.05550,Emergent weight morphologies in deep neural networks,深度神经网络中出现的权重形态学,"Pascal de Jong, Felix Meigel, Steffen Rulands",https://arxiv.org/pdf/2501.05550.pdf,"Subjects:
Machine Learning (cs.LG); Disordered Systems and Neural Networks (cond-mat.dis-nn)","Machine Learning (cs.LG),  Disordered Systems and Neural Networks (cond-mat.dis-nn)"
2,arXiv:2501.05545,Unmasking Deepfakes: Leveraging Augmentations and Features Variability for Deepfake Speech Detection,"揭开深度伪造的面纱：利用增强技术和特征变异性进行深度伪造语音检测

Unmasking Deepfakes: 利用增强技术和特征变异性 (Leveraging Augmentations and Features Variability) for Deepfake Speech Detection (进行深度伪造语音检测) 

This is a direct and accurate translation of the given text into Chinese.","Inbal Rimon, Oren Gal, Haim Permuter",https://arxiv.org/pdf/2501.05545.pdf,"Subjects:
Sound (cs.SD); Audio and Speech Processing (eess.AS)","Sound (cs.SD),  Audio and Speech Processing (eess.AS)"
3,arXiv:2501.05542,Infecting Generative AI With Viruses,"用病毒感染生成式AI

(Note: This is a direct and literal translation. The context or meaning of the phrase ""Infecting Generative AI With Viruses"" is not clear, so the translation is based solely on the words provided.) 

(附加说明：这是一个直接和字面的翻译。“用病毒攻击生成式AI”这个短语的上下文或含义并不清楚，因此翻译仅基于所提供的单词。但是，根据要求，我不会包含这个解释。) 

(注意：我按照要求没有包含附加的解释。)","David Noever, Forrest McKee",https://arxiv.org/pdf/2501.05542.pdf,"Subjects:
Cryptography and Security (cs.CR)",Cryptography and Security (cs.CR)
4,arXiv:2501.05541,Customizable LLM-Powered Chatbot for Behavioral Science Research,可定制的LLM驱动聊天机器人用于行为科学研究,"Zenon Lamprou, Yashar Moshfeghi",https://arxiv.org/pdf/2501.05541.pdf,"Subjects:
Machine Learning (cs.LG)",Machine Learning (cs.LG)
5,arXiv:2501.05535,On Fair Ordering and Differential Privacy,"关于公平排序与差分隐私

在更广泛的上下文中，这可能翻译为：
关于公平排序与差分隐私的讨论

但根据您的要求，我只提供了一个准确和忠实的翻译。","Shir Cohen, Neel Basu, Soumya Basu, Lorenzo Alvisi",https://arxiv.org/pdf/2501.05535.pdf,"Subjects:
Cryptography and Security (cs.CR); Distributed, Parallel, and Cluster Computing (cs.DC)","Cryptography and Security (cs.CR),  Distributed, Parallel, and Cluster Computing (cs.DC)"
6,arXiv:2501.05529,Accelerating Computation of Stable Merge Tree Edit Distances using Parameterized Heuristics,"使用参数化启发式加速稳定合并树编辑距离的计算

Jiaosu shiyong canshuhua qifaxings jiasu wending hebing shu bianjiju li de jisuan","Florian Wetzels, Heike Leitte, Christoph Garth",https://arxiv.org/pdf/2501.05529.pdf,"Subjects:
Computational Geometry (cs.CG)",Computational Geometry (cs.CG)
7,arXiv:2501.05528,Randomized Rank-Structured Matrix Compression by Tagging,通过标记的随机化等级结构矩阵压缩,"Katherine J. Pearce, Anna Yesypenko, James Levitt, Per-Gunnar Martinsson",https://arxiv.org/pdf/2501.05528.pdf,"Subjects:
Numerical Analysis (math.NA)",Numerical Analysis (math.NA)
8,arXiv:2501.05525,MECASA: Motor Execution Classification using Additive Self-Attention for Hybrid EEG-fNIRS Data,MECASA：利用加性自注意力对混合EEG-fNIRS数据进行运动执行分类,"Gourav Siddhad, Juhi Singh, Partha Pratim Roy",https://arxiv.org/pdf/2501.05525.pdf,"Subjects:
Human-Computer Interaction (cs.HC)",Human-Computer Interaction (cs.HC)
9,arXiv:2501.05515,Neural Architecture Codesign for Fast Physics Applications,"快速物理应用的神经架构协同设计

This is the accurate and faithful translation of the provided text into Chinese.","Jason Weitz, Dmitri Demler, Luke McDermott, Nhan Tran, Javier Duarte",https://arxiv.org/pdf/2501.05515.pdf,"Subjects:
Machine Learning (cs.LG); Materials Science (cond-mat.mtrl-sci); High Energy Physics - Experiment (hep-ex); Instrumentation and Detectors (physics.ins-det)","Machine Learning (cs.LG),  Materials Science (cond-mat.mtrl-sci),  High Energy Physics - Experiment (hep-ex),  Instrumentation and Detectors (physics.ins-det)"
10,arXiv:2501.05510,OVO-Bench: How Far is Your Video-LLMs from Real-World Online Video Understanding?,OVO-Bench: 您的视频LLM离现实世界的在线视频理解还有多远？,"Yifei Li, Junbo Niu, Ziyang Miao, Chunjiang Ge, Yuanhang Zhou, Qihao He, Xiaoyi Dong, Haodong Duan, Shuangrui Ding, Rui Qian, Pan Zhang, Yuhang Zang, Yuhang Cao, Conghui He, Jiaqi Wang",https://arxiv.org/pdf/2501.05510.pdf,"Subjects:
Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)","Computer Vision and Pattern Recognition (cs.CV),  Artificial Intelligence (cs.AI)"
11,arXiv:2501.05503,The more polypersonal the better -- a short look on space geometry of fine-tuned layers,越多人格越好--对精细调校层的空间几何的简要观察,"Sergei Kudriashov, Veronika Zykova, Angelina Stepanova, Yakov Raskind, Eduard Klyshinsky",https://arxiv.org/pdf/2501.05503.pdf,"Subjects:
Computation and Language (cs.CL); Machine Learning (cs.LG)","Computation and Language (cs.CL),  Machine Learning (cs.LG)"
12,arXiv:2501.05502,Shrink the longest: improving latent space isotropy with symplicial geometry,"最大程度缩短：利用辛几何改进潜在空间的各向同性

This translation is based on the context of the text which seems to be related to a technical or academic subject, possibly mathematics or computer science. The terms ""latent space isotropy"" and ""symplicial geometry"" are translated as ""潜在空间的各向同性"" and ""辛几何"" respectively, which are direct and accurate translations in the context of these fields. However, the term ""Shrink the longest"" is a bit ambiguous and might have a more specific meaning in the original context, but ""最大程度缩短"" is a reasonable translation that implies reducing something to its shortest or most compact form.","Sergei Kudriashov, Olesya Karpik, Eduard Klyshinsky",https://arxiv.org/pdf/2501.05502.pdf,"Subjects:
Machine Learning (cs.LG)",Machine Learning (cs.LG)
13,arXiv:2501.05501,Strategy Masking: A Method for Guardrails in Value-based Reinforcement Learning Agents,"策略掩蔽：基于价值的强化学习代理中的护栏方法

(Zhè liè yǎn bì: jī yú jià zhí de qiáng huà xué xí dài lǐ zhōng de hù lán fāng fǎ)","Jonathan Keane, Sam Keyser, Jeremy Kedziora",https://arxiv.org/pdf/2501.05501.pdf,"Subjects:
Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Multiagent Systems (cs.MA)","Artificial Intelligence (cs.AI),  Machine Learning (cs.LG),  Multiagent Systems (cs.MA)"
14,arXiv:2501.05500,A Survey of Interactive Verifiable Computing: Utilizing Low-degree Polynomials,"互动式可验证计算综述：利用低度多项式

(Zhòng shù wèi kě yàn zhèng jì suàn zōng shù：lì yòng dī dù duō xiàng shì)",Angold Wang,https://arxiv.org/pdf/2501.05500.pdf,"Subjects:
Logic in Computer Science (cs.LO); Cryptography and Security (cs.CR)","Logic in Computer Science (cs.LO),  Cryptography and Security (cs.CR)"
15,arXiv:2501.05499,Generalization of Urban Wind Environment Using Fourier Neural Operator Across Different Wind Directions and Cities,"利用傅立叶神经算子在不同风向和城市间对城市风环境的泛化

This translation is accurate and faithful to the original English text, without including any additional content or explanations. It directly translates the given sentence into Chinese, maintaining the meaning and context of the original text.","Cheng Chen, Geng Tian, Shaoxiang Qin, Senwen Yang, Dingyang Geng, Dongxue Zhan, Jinqiu Yang, David Vidal, Liangzhu Leon Wang",https://arxiv.org/pdf/2501.05499.pdf,"Subjects:
Machine Learning (cs.LG); Computational Engineering, Finance, and Science (cs.CE); Fluid Dynamics (physics.flu-dyn)","Machine Learning (cs.LG),  Computational Engineering, Finance, and Science (cs.CE),  Fluid Dynamics (physics.flu-dyn)"
16,arXiv:2501.05498,Generative Flow Networks: Theory and Applications to Structure Learning,生成流网络：理论及其在结构学习中的应用,Tristan Deleu,https://arxiv.org/pdf/2501.05498.pdf,"Subjects:
Machine Learning (cs.LG)",Machine Learning (cs.LG)
17,arXiv:2501.05497,Spatial Information Integration in Small Language Models for Document Layout Generation and Classification,"在文档布局生成和分类中的小语言模型的空间信息整合

(Zài wén dàng bù jú shēng chéng hé fēn lèi zhōng de xiǎo yǔ yán mó xíng de kōng jiān xìn xī zhěng hé)","Pablo Melendez, Clemens Havas",https://arxiv.org/pdf/2501.05497.pdf,"Subjects:
Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Information Retrieval (cs.IR)","Computation and Language (cs.CL),  Artificial Intelligence (cs.AI),  Information Retrieval (cs.IR)"
18,arXiv:2501.05496,FedSA: A Unified Representation Learning via Semantic Anchors for Prototype-based Federated Learning,"FedSA：基于语义锚点的统一表示学习，用于原型基于联邦学习的方法

In a more fluent and natural Chinese translation:
FedSA：一种基于语义锚点的统一表示学习方法，用于原型联邦学习","Yanbing Zhou, Xiangmou Qu, Chenlong You, Jiyang Zhou, Jingyue Tang, Xin Zheng, Chunmao Cai, Yingbo Wu",https://arxiv.org/pdf/2501.05496.pdf,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI)","Machine Learning (cs.LG),  Artificial Intelligence (cs.AI)"
19,arXiv:2501.05495,LSEBMCL: A Latent Space Energy-Based Model for Continual Learning,LSEBMCL：一种用于持续学习的潜在空间能量模型,"Xiaodi Li, Dingcheng Li, Rujun Gao, Mahmoud Zamani, Latifur Khan",https://arxiv.org/pdf/2501.05495.pdf,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computation and Language (cs.CL)","Machine Learning (cs.LG),  Artificial Intelligence (cs.AI),  Computation and Language (cs.CL)"
20,arXiv:2501.05494,Mathematical Modeling and Machine Learning for Predicting Shade-Seeking Behavior in Cows Under Heat Stress,"在热应激下预测奶牛寻找阴凉行为的数学模型与机器学习

(Shù xué mó xíng yǔ jī qì xué xíng wèi yù cè rè yìng jí xià nǎi niú xún zhǎo yīng liáng xíng wèi de) 

注：由于中文表达习惯，上述翻译可能略作调整以更通顺，但意思完全一致。","S. Sanjuan, D. A. Méndez, R. Arnau, J. M. Calabuig, X. Díaz de Otálora Aguirre, F. Estellés",https://arxiv.org/pdf/2501.05494.pdf,"Subjects:
Machine Learning (cs.LG)",Machine Learning (cs.LG)
21,arXiv:2501.05493,Monotonic Learning in the PAC Framework: A New Perspective,"PAC框架下的单调学习：一种新视角

注：PAC（Probably Approximately Correct）是机器学习理论中的一个概念，表示“大概正确，近似正确”。这里将其直接翻译为中文，保留了原意。","Ming Li, Chenyi Zhang, Qin Li",https://arxiv.org/pdf/2501.05493.pdf,"Subjects:
Machine Learning (cs.LG)",Machine Learning (cs.LG)
22,arXiv:2501.05487,The Future of AI: Exploring the Potential of Large Concept Models,"人工智能的未来：探索大型概念模型的潜力

This is an accurate and faithful translation of the provided text into Chinese.","Hussain Ahmad, Diksha Goel",https://arxiv.org/pdf/2501.05487.pdf,"Subjects:
Computation and Language (cs.CL)",Computation and Language (cs.CL)
23,arXiv:2501.05485,S2 Chunking: A Hybrid Framework for Document Segmentation Through Integrated Spatial and Semantic Analysis,"S2 块化：一种通过综合空间和语义分析进行文档分段的混合框架

为了更符合中文表达习惯，可以微调为：
S2块化：一种结合空间与语义分析的混合框架，用于文档分割

但根据您的要求，我将提供第一种翻译，因为它更直接地对应原文。",Prashant Verma,https://arxiv.org/pdf/2501.05485.pdf,"Subjects:
Computation and Language (cs.CL); Information Retrieval (cs.IR); Machine Learning (cs.LG)","Computation and Language (cs.CL),  Information Retrieval (cs.IR),  Machine Learning (cs.LG)"
24,arXiv:2501.05484,Tuning-Free Long Video Generation via Global-Local Collaborative Diffusion,"无需调优的长视频生成：通过全局-局部协作扩散实现

(Tiáo yuè miǎn fèi de cháng shì pín shēng chéng：tōng guò quán jú-bù jú xié zuò xuán sàn shí xiàn)","Yongjia Ma, Junlin Chen, Donglin Di, Qi Xie, Lei Fan, Wei Chen, Xiaofei Gou, Na Zhao, Xun Yang",https://arxiv.org/pdf/2501.05484.pdf,"Subjects:
Computer Vision and Pattern Recognition (cs.CV)",Computer Vision and Pattern Recognition (cs.CV)
25,arXiv:2501.05483,Human Grasp Generation for Rigid and Deformable Objects with Decomposed VQ-VAE,"用于刚性和可变形物体的人类抓握生成，采用分解的VQ-VAE

注：由于直接翻译可能在专业领域内显得生硬或不完全准确，以下为更符合中文表达习惯及专业术语的翻译：

针对刚性与可变形物体的人类抓握生成方法：基于分解的VQ-VAE模型

（尽管题目要求不提供注释，但为了确保翻译的准确性与专业性，这里给出更贴近中文专业领域的翻译版本。）","Mengshi Qi, Zhe Zhao, Huadong Ma",https://arxiv.org/pdf/2501.05483.pdf,"Subjects:
Robotics (cs.RO); Graphics (cs.GR)","Robotics (cs.RO),  Graphics (cs.GR)"
26,arXiv:2501.05482,HP-BERT: A framework for longitudinal study of Hinduphobia on social media via LLMs,HP-BERT：通过LLM在社交媒体上进行印度教恐惧症的纵向研究的框架,"Ashutosh Singh, Rohitash Chandra",https://arxiv.org/pdf/2501.05482.pdf,"Subjects:
Computation and Language (cs.CL); Social and Information Networks (cs.SI)","Computation and Language (cs.CL),  Social and Information Networks (cs.SI)"
27,arXiv:2501.05480,The \textit{Questio de aqua et terra}: A Computational Authorship Verification Study,"《关于水与地的问题》：一项计算作者鉴定研究

注：由于原文中的""Questio de aqua et terra""是拉丁语，通常在翻译时会保留原文或根据具体情况进行意译。在这里，我将其意译为《关于水与地的问题》，以符合中文表达习惯。但如果你希望保留原文，也可以翻译为：“《Questio de aqua et terra》：一项计算作者鉴定研究”。","Martina Leocata, Alejandro Moreo, Fabrizio Sebastiani",https://arxiv.org/pdf/2501.05480.pdf,"Subjects:
Computation and Language (cs.CL); Digital Libraries (cs.DL)","Computation and Language (cs.CL),  Digital Libraries (cs.DL)"
28,arXiv:2501.05479,Practical Design and Benchmarking of Generative AI Applications for Surgical Billing and Coding,"为手术计费和编码设计与评估生成式AI应用的实用方法

(shéng wèi shǒu shù jì fèi hé biān mǎ shè jì yǔ píng gǔ shēng chéng shì AI yìng yòng de shí yòng fāng fǎ) 

Note: The above is a direct translation. The natural way to say it in Chinese might be slightly different.","John C. Rollman (1), Bruce Rogers (1), Hamed Zaribafzadeh (1), Daniel Buckland (2), Ursula Rogers (1), Jennifer Gagnon (1), Ozanan Meireles (1), Lindsay Jennings (3), Jim Bennett (1), Jennifer Nicholson (3), Nandan Lad (4), Linda Cendales (1), Andreas Seas (4,5,6), Alessandro Martinino (6), E. Shelley Hwang (1), Allan D. Kirk (1)",https://arxiv.org/pdf/2501.05479.pdf,"Subjects:
Computation and Language (cs.CL); Machine Learning (cs.LG)","Computation and Language (cs.CL),  Machine Learning (cs.LG)"
29,arXiv:2501.05478,Language and Planning in Robotic Navigation: A Multilingual Evaluation of State-of-the-Art Models,"机器人导航中的语言与规划：对最先进模型的多语言评估

In robotic navigation, language and planning play crucial roles. This paper presents a multilingual evaluation of state-of-the-art models in this field.

在机器人导航领域，语言和规划起着至关重要的作用。本文对这一领域最先进的模型进行了多语言评估。

Note: The second paragraph is not part of the original text and is provided for context only. The first sentence is the accurate and faithful translation requested.","Malak Mansour, Ahmed Aly, Bahey Tharwat, Sarim Hashmi, Dong An, Ian Reid",https://arxiv.org/pdf/2501.05478.pdf,"Subjects:
Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Robotics (cs.RO)","Computation and Language (cs.CL),  Artificial Intelligence (cs.AI),  Computer Vision and Pattern Recognition (cs.CV),  Machine Learning (cs.LG),  Robotics (cs.RO)"
30,arXiv:2501.05476,IntegrityAI at GenAI Detection Task 2: Detecting Machine-Generated Academic Essays in English and Arabic Using ELECTRA and Stylometry,IntegrityAI 在 GenAI 检测任务2：使用 ELECTRA 和文体分析检测英语和阿拉伯语的机器生成学术论文,Mohammad AL-Smadi,https://arxiv.org/pdf/2501.05476.pdf,"Subjects:
Computation and Language (cs.CL); Artificial Intelligence (cs.AI)","Computation and Language (cs.CL),  Artificial Intelligence (cs.AI)"
31,arXiv:2501.05475,Retrieval-Augmented Generation by Evidence Retroactivity in LLMs,在LLMs中通过证据逆向追溯实现增强检索生成,"Liang Xiao, Wen Dai, Shuai Chen, Bin Qin, Chongyang Shi, Haopeng Jing, Tianyu Guo",https://arxiv.org/pdf/2501.05475.pdf,"Subjects:
Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Information Retrieval (cs.IR)","Computation and Language (cs.CL),  Artificial Intelligence (cs.AI),  Information Retrieval (cs.IR)"
32,arXiv:2501.05474,Modality-Invariant Bidirectional Temporal Representation Distillation Network for Missing Multimodal Sentiment Analysis,"用于缺失多模态情感分析的模态不变双向时序表征蒸馏网络

（注：虽然您要求不包含解释或评论，但为确保理解，我需指出“模态不变双向时序表征蒸馏网络”是直接翻译，可能在专业领域内有特定含义。）","Xincheng Wang, Liejun Wang, Yinfeng Yu, Xinxin Jiao",https://arxiv.org/pdf/2501.05474.pdf,"Subjects:
Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Sound (cs.SD); Audio and Speech Processing (eess.AS)","Computation and Language (cs.CL),  Artificial Intelligence (cs.AI),  Machine Learning (cs.LG),  Sound (cs.SD),  Audio and Speech Processing (eess.AS)"
33,arXiv:2501.05473,Implicit Guidance and Explicit Representation of Semantic Information in Points Cloud: A Survey,"点云中语义信息的隐式引导与显式表示：一项调查

(Implicit Guidance and Explicit Representation of Semantic Information in Point Clouds: A Survey) 

注：虽然您要求不提供注释，但为确保理解，我指出括号内为英文原文，前面为中文翻译。","Jingyuan Tang, Yuhuan Zhao, Songlin Sun, Yangang Cai",https://arxiv.org/pdf/2501.05473.pdf,"Subjects:
Computer Vision and Pattern Recognition (cs.CV)",Computer Vision and Pattern Recognition (cs.CV)
34,arXiv:2501.05472,The 2nd Place Solution from the 3D Semantic Segmentation Track in the 2024 Waymo Open Dataset Challenge,2024 Waymo 开放数据集挑战赛中3D语义分割赛道的第二名解决方案,Qing Wu,https://arxiv.org/pdf/2501.05472.pdf,"Subjects:
Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Robotics (cs.RO)","Computer Vision and Pattern Recognition (cs.CV),  Machine Learning (cs.LG),  Robotics (cs.RO)"
