id,title,title_zh,authors,url,subjects,subject_split
arXiv:2512.17909,Both Semantics and Reconstruction Matter: Making Representation Encoders Ready for Text-to-Image Generation and Editing,语义与重建同样重要：为文本到图像生成与编辑准备表示编码器,"Shilong Zhang, He Zhang, Zhifei Zhang, Chongjian Ge, Shuchen Xue, Shaoteng Liu, Mengwei Ren, Soo Ye Kim, Yuqian Zhou, Qing Liu, Daniil Pakhomov, Kai Zhang, Zhe Lin, Ping Luo",https://arxiv.org/pdf/2512.17909,"Subjects:
Computer Vision and Pattern Recognition (cs.CV)",Computer Vision and Pattern Recognition (cs.CV)
arXiv:2512.17908,Re-Depth Anything: Test-Time Depth Refinement via Self-Supervised Re-lighting,Re-Depth Anything：通过自监督重光照实现测试时深度优化,"Ananta R. Bhattarai, Helge Rhodin",https://arxiv.org/pdf/2512.17908,"Subjects:
Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)","Computer Vision and Pattern Recognition (cs.CV),  Artificial Intelligence (cs.AI),  Machine Learning (cs.LG)"
arXiv:2512.17907,Dexterous World Models,灵巧世界模型,"Byungjun Kim, Taeksoo Kim, Junyoung Lee, Hanbyul Joo",https://arxiv.org/pdf/2512.17907,"Subjects:
Computer Vision and Pattern Recognition (cs.CV)",Computer Vision and Pattern Recognition (cs.CV)
arXiv:2512.17902,Adversarial Robustness of Vision in Open Foundation Models,开放基础模型中视觉的对抗鲁棒性,"Jonathon Fox, William J Buchanan, Pavlos Papadopoulos",https://arxiv.org/pdf/2512.17902,"Subjects:
Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Cryptography and Security (cs.CR)","Computer Vision and Pattern Recognition (cs.CV),  Artificial Intelligence (cs.AI),  Cryptography and Security (cs.CR)"
arXiv:2512.17901,When Reasoning Meets Its Laws,当推理遇见其定律,"Junyu Zhang, Yifan Sun, Tianang Leng, Jingyan Shen, Liu Ziyin, Paul Pu Liang, Huan Zhang",https://arxiv.org/pdf/2512.17901,"Subjects:
Artificial Intelligence (cs.AI); Computation and Language (cs.CL)","Artificial Intelligence (cs.AI),  Computation and Language (cs.CL)"
arXiv:2512.17900,Diffusion Forcing for Multi-Agent Interaction Sequence Modeling,多智能体交互序列建模的扩散驱动,"Vongani H. Maluleke, Kie Horiuchi, Lea Wilken, Evonne Ng, Jitendra Malik, Angjoo Kanazawa",https://arxiv.org/pdf/2512.17900,"Subjects:
Computer Vision and Pattern Recognition (cs.CV); Robotics (cs.RO)","Computer Vision and Pattern Recognition (cs.CV),  Robotics (cs.RO)"
arXiv:2512.17899,Distributionally Robust Imitation Learning: Layered Control Architecture for Certifiable Autonomy,分布鲁棒模仿学习：用于可认证自主性的分层控制架构,"Aditya Gahlawat, Ahmed Aboudonia, Sandeep Banik, Naira Hovakimyan, Nikolai Matni, Aaron D. Ames, Gioele Zardini, Alberto Speranzon",https://arxiv.org/pdf/2512.17899,"Subjects:
Systems and Control (eess.SY); Machine Learning (cs.LG)","Systems and Control (eess.SY),  Machine Learning (cs.LG)"
arXiv:2512.17898,Humanlike AI Design Increases Anthropomorphism but Yields Divergent Outcomes on Engagement and Trust Globally,拟人化AI设计增加拟人化但全球参与度和信任结果分化,"Robin Schimmelpfennig, Mark Díaz, Vinodkumar Prabhakaran, Aida Davani",https://arxiv.org/pdf/2512.17898,"Subjects:
Artificial Intelligence (cs.AI)",Artificial Intelligence (cs.AI)
arXiv:2512.17897,RadarGen: Automotive Radar Point Cloud Generation from Cameras,RadarGen：从摄像头生成汽车雷达点云,"Tomer Borreda, Fangqiang Ding, Sanja Fidler, Shengyu Huang, Or Litany",https://arxiv.org/pdf/2512.17897,"Subjects:
Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Robotics (cs.RO)","Computer Vision and Pattern Recognition (cs.CV),  Artificial Intelligence (cs.AI),  Machine Learning (cs.LG),  Robotics (cs.RO)"
arXiv:2512.17896,XAgen: An Explainability Tool for Identifying and Correcting Failures in Multi-Agent Workflows,XAgen：用于识别和纠正多智能体工作流中故障的可解释性工具,"Xinru Wang, Ming Yin, Eunyee Koh, Mustafa Doga Dogan",https://arxiv.org/pdf/2512.17896,"Subjects:
Human-Computer Interaction (cs.HC)",Human-Computer Interaction (cs.HC)
